"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Время ремонта";"Characteristics:Время чистки";"Characteristics:Объем оперативной памяти";"Characteristics:Объем встроенной памяти";Characteristics:Цвет;Weight;Length;Width;Height
974359495212;;;;"iPhone 12;Ремонт";"Замена дисплея на iPhone 12";"Замена дисплея на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена дисплея на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6536-6163-4831-b661-666433353362/56869158.png;2500.00;;;;;57OEO3mVMKYBRh7VvVxn;;"2-3 часа";;;;;0;0;0;0
128017112582;;;;"iPhone 12;Ремонт";"Замена аккумулятора на iPhone 12";"Замена аккумулятора (акб) на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена аккумулятора (акб) на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3864-3164-4433-b235-663931363462/10984035.png;2500.00;;;;;Rjh6LesCKaopO8jlLPCs;;"2 часа";;;;;0;0;0;0
616600925372;;;;"iPhone 12;Ремонт";"Замена задней крышки на iPhone 12";"Замена задней крышки на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена задней крышки на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3736-3435-4234-a135-393436343066/55812130.png;4500.00;;;;;srvCG9Gm27kr1VSbRBl4;;"3-4 часа";;;;;0;0;0;0
411694800712;;;;"iPhone 12;Ремонт";"Замена разъема зарядки на iPhone 12";"Замена разъема зарядки на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена разъема зарядки на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3838-3833-4630-b230-383238666361/25885160.png;2500.00;;;;;ObAgtd14H64tgiJhd92j;;"2 часа";;;;;0;0;0;0
392035609202;;;;"iPhone 12;Ремонт";"Замена вибромотора на iPhone 12";"Замена вибромотора на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена вибромотора на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6537-3062-4433-b836-663961623038/19929949.png;2000.00;;;;;FZtPh28ONOxKPGyEktsy;;"2 часа";;;;;0;0;0;0
704559486962;;;;"iPhone 12;Ремонт";"Замена передней камеры на iPhone 12";"Замена передней камеры на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена передней камеры на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6561-3030-4630-b339-653633613733/79232881.png;2500.00;;;;;uZd0z38MnapMsOAl0EP3;;"2 часа";;;;;0;0;0;0
468861081192;;;;"iPhone 12;Ремонт";"Замена основной камеры на iPhone 12";"Замена основной камеры на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена основной камеры на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6561-3030-4630-b339-653633613733/79232881.png;2000.00;;;;;XhhUERFgsGHdXsvyfXOi;;"2 часа";;;;;0;0;0;0
303153280392;;;;"iPhone 12;Ремонт";"Замена корпуса на iPhone 12";"Замена корпуса на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена корпуса на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor6364-6332-4239-b365-326438303464/26845348.png;3500.00;;;;;rByxjzpdMCxosJkuIXj7;;"4 часа";;;;;0;0;0;0
266136331582;;;;"iPhone 12;Ремонт";"Замена кнопок громкости на iPhone 12";"Замена кнопок громкости на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена кнопок громкости на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3536-3363-4865-b433-666137373565/56389286.png;2500.00;;;;;iYgfMxpSGyns75Ol6OXU;;"2 часа";;;;;0;0;0;0
835756313362;;;;"iPhone 12;Ремонт";"Замена кнопки включения на iPhone 12";"Замена кнопки включения на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";"Замена кнопки включения на iPhone 12, 12 mini, 12 Pro и 12 Pro Max в сервисном центре ""Bee Service"". Цена указана за работу без учета стоимости детали. Стоимость детали вы можете узнать в онлайн-чате или позвонив нам.";https://static.tildacdn.com/stor3536-3363-4865-b433-666137373565/56389286.png;2500.00;;;;;GBukxfIBilBHbuMoS5Kl;;"2 часа";;;;;0;0;0;0
